iter	Passed	Remaining
910	4393	429
911	4399	424
912	4405	419
913	4412	415
914	4417	410
915	4424	405
916	4432	401
917	4440	396
918	4449	392
919	4455	387
920	4462	382
921	4468	378
922	4476	373
923	4481	368
924	4485	363
925	4491	358
926	4497	354
927	4506	349
928	4512	344
929	4517	340
930	4523	335
931	4529	330
932	4533	325
933	4541	320
934	4547	316
935	4553	311
936	4559	306
937	4564	301
938	4570	296
939	4575	292
940	4580	287
941	4586	282
942	4591	277
943	4597	272
944	4603	267
945	4608	263
946	4614	258
947	4620	253
948	4626	248
949	4636	244
950	4642	239
951	4650	234
952	4655	229
953	4660	224
954	4667	219
955	4671	215
956	4682	210
957	4690	205
958	4698	200
959	4705	196
960	4712	191
961	4717	186
962	4723	181
963	4730	176
964	4735	171
965	4742	166
966	4748	162
967	4753	157
968	4759	152
969	4764	147
970	4769	142
971	4777	137
972	4782	132
973	4787	127
974	4793	122
975	4798	118
976	4803	113
977	4809	108
978	4815	103
979	4820	98
980	4825	93
981	4830	88
982	4836	83
983	4842	78
984	4858	73
985	4865	69
986	4874	64
987	4881	59
988	4891	54
989	4897	49
990	4905	44
991	4910	39
992	4916	34
993	4922	29
994	4928	24
995	4933	19
996	4939	14
997	4944	9
998	4950	4
999	4955	0
